Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25°C) (uS/cm),Salinity (Sal),Temperature (°C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU) (CFU/100 ml),Fecal Coliforms (CFU) (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU) (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Free Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag),Year,Total Mesophilic Aerobes (MPN) (MPN/100 ml),Suspended Mercury (mg/kg Hg),Fluorides (mg/l F),pH in laboratory,Settleable Solids (ml/l),Total Coliforms (CFU/100 ml),Fecal Coliforms (CFU/100 ml),Total Mesophilic Aerobes (CFU/100 ml),Total Organic Carbon (mg/l),Total Mesophilic Aerobes (MPN/100 ml),Total Coliforms (MPN/100 ml),Fecal Coliforms (MPN/100 ml),Location,Month,Month_Name,Season,DO_Status
La Angostura,BTP-090,2021-12-02,13:45,December 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tupiza,Unidad 5,"21° 30' 17.01""","65° 42' 18.84""",-21.5047,-65.7052,,,644.0,,8.71,-115.5,1553.0,0.7,27.5,,,7.57,1365.0,1348.0,18.0,12.0,726.0,3.0,157.5,64.93,639.1,127.76,98.43,77.38,9.48,128.89,102.05,78.12,9.63,1.3,1.1,0.84,12.19,22.68,9.94,21.0,27.0,,,,,,,5.0,5.0,25.0,25.0,5.0,100.0,0.5,5.0,25.0,1.0,0.25,0.5,2.5,0.25,50.0,1800.0,0.5,5.0,100.0,0.5,5.0,25.0,1.0,0.25,0.5,2.5,0.25,50.0,2000.0,0.5,,0.001,0.0005,0.034,,,,,,0.0,,11111.11,,,,,0.0,,,2021,,,,,,420.0,360.0,4.0,,,,,Potosi,12,December,Summer (Wet),
Cotagaita,BCO-070,2021-12-02,9:35,December 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Cotagaita,Unidad 4,"20° 49' 14.874""","65° 40' 3.54""",-20.8208,-65.6676,0.378,1.0,555.0,152.4,8.08,-77.45,1803.0,0.9,20.9,6.58,101.3,33.6,1809.0,1776.0,24.0,0.025,932.0,8.5,81.0,42.72,994.3,167.77,133.47,61.87,8.4,169.32,137.84,64.81,8.5,0.2,0.2,0.68,0.01,1.28,7.14,12.0,15.0,,,,,,,5.0,5.0,25.0,25.0,5.0,400.0,14.0,5.0,25.0,2.0,0.25,0.5,2.5,0.25,50.0,2000.0,0.5,5.0,400.0,17.0,5.0,25.0,3.0,0.25,0.5,2.5,0.25,800.0,2200.0,0.5,,0.001,0.0005,0.048,,,,,,41.67,,8333.33,,,,33333.33,0.0,125.0,,2021,,,,,,600.0,540.0,1.0,,,,,Potosi,12,December,Summer (Wet),Oxic
Tumusla,BTU-080,2021-12-02,7:40,December 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 29' 12.834""","65° 37' 8.154""",-20.4869,-65.6189,0.554,2.0,1358.0,147.9,8.38,-93.8,736.0,0.3,17.5,6.79,97.1,235.0,800.0,558.0,240.0,6.0,268.0,4.0,118.0,34.17,236.1,52.41,33.49,48.78,6.52,52.36,38.38,49.16,6.97,0.34,0.3,0.24,0.01,1.28,5.04,10.0,13.0,,,,,,,5.0,5.0,25.0,25.0,5.0,25.0,0.5,5.0,25.0,3.0,0.25,0.5,2.5,0.25,50.0,900.0,0.5,5.0,93000.0,5.0,5.0,25.0,5.0,0.25,8.0,2.5,0.25,9000.0,1000.0,0.5,,0.001,0.0005,0.04,,,,,6.17,8.33,,416.67,,,,37500.0,387500.0,20.83,,2021,,,,,,100.0,40.0,0.0,,,,,Potosi,12,December,Summer (Wet),Oxic
Yocalla,BYO-025,2021-12-01,14:20,December 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 1,"19° 23' 50.19""","65° 54' 27.48""",-19.3973,-65.9076,0.364,2.0,1274.0,,7.67,-62.9,785.0,0.3,24.4,5.39,98.2,796.0,1295.0,490.0,801.0,45.0,106.0,0.05,67.5,159.24,48.9,17.07,4.01,99.95,7.36,20.22,4.05,106.82,7.95,0.58,0.52,0.26,0.01,4.34,6.44,12.0,16.0,,,,,,,5.0,5.0,25.0,25.0,5.0,25.0,0.5,5.0,25.0,9.0,0.25,0.5,2.5,0.25,50.0,900.0,0.5,13.0,400.0,10.0,15.0,50.0,14.0,0.25,18.0,2.5,0.25,22000.0,1100.0,0.5,,0.001,0.004,0.027,,,,62.42,13.28,6.24,,249.69,,18.73,16.23,27465.67,499.38,12.48,,2021,,,,,,200.0,90.0,0.0,,,,,Potosi,12,December,Summer (Wet),Oxic
Tarapaya,BTA-050,2021-12-01,11:50,December 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.492""","65° 47' 39.696""",-19.4718,-65.7944,0.625,1.0,819.0,129.9,7.22,-29.6,1220.0,0.6,21.7,5.53,94.7,209.0,1109.0,936.0,171.0,18.0,428.0,0.05,93.0,72.79,455.2,99.73,24.64,95.54,14.82,103.6,25.68,97.01,14.87,0.2,0.1,36.12,0.22,2.26,7.14,39.0,52.0,,,,,,,5.0,5.0,25.0,25.0,5.0,2000.0,11.0,5.0,1000.0,40.0,0.25,0.5,2.5,0.25,50.0,300.0,0.5,5.0,2000.0,14.0,67.0,2000.0,164.0,5.0,46.0,2.5,0.25,14000.0,400.0,3.0,,0.001,0.002,0.036,,,17.54,5847.95,182.34,725.15,,584.8,29.24,391.81,,81871.35,0.0,17.54,,2021,,,,,,20.0,8.0,16.0,,,,,Potosi,12,December,Summer (Wet),Oxic
San Antonio - Potosí,BSA-030,2021-12-01,8:40,December 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,"19° 34' 41.562""","65° 48' 11.73""",-19.5782,-65.8033,0.383,0.0,744.0,134.9,7.59,-48.6,1344.0,0.6,13.1,6.77,99.2,179.0,1072.0,860.0,212.0,33.0,328.0,0.05,188.5,89.19,349.0,87.02,24.64,75.15,27.66,87.08,26.38,75.89,27.78,0.34,0.3,58.02,0.01,2.87,8.54,79.0,102.0,,,,,,,5.0,5.0,25.0,25.0,5.0,3000.0,20.0,40.0,3000.0,19.0,8.0,0.5,2.5,0.25,200.0,400.0,0.5,5.0,3000.0,24.0,186.0,13000.0,214.0,29.0,28.0,2.5,0.25,23000.0,400.0,4.0,,0.001,0.0005,0.025,,,18.87,47169.81,1.6,919.81,,0.0,99.06,688.68,,107547.17,0.0,18.87,,2021,,,,,,100.0,60.0,0.0,,,,,Potosi,12,December,Summer (Wet),Oxic
Potosí - Naciente río La Ribera,BNR-010,2021-11-30,17:50,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,De la Ribera,Unidad 1,"19° 35' 51.54""","65° 43' 52.74""",-19.5977,-65.7313,,,3395.0,97.0,7.11,-21.2,294.0,0.1,13.9,4.63,75.4,2.94,197.0,190.0,5.0,13.0,146.0,2.5,144.0,2.9,4.3,26.04,3.49,8.41,3.46,33.54,3.77,8.86,4.2,0.2,0.1,0.33,0.01,1.15,0.14,24.0,32.0,,,,,,,5.0,5.0,25.0,25.0,5.0,320.0,0.5,5.0,25.0,6.0,0.25,0.5,2.5,0.25,2000.0,200.0,0.5,5.0,330.0,0.5,5.0,25.0,8.0,0.25,0.5,2.5,0.25,2000.0,200.0,0.5,,0.001,0.0005,,,,,,,400.0,,0.0,,,,0.0,2000.0,,,2021,,,,,,200.0,80.0,,,,,,Potosi,11,November,Spring (Transition),Oxic
Colavi - Canutillos,BC7-113,2021-11-30,14:35,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 16.86""","65° 33' 6.774""",-19.3214,-65.5519,0.527,0.0,2170.0,131.9,3.87,158.1,462.0,0.1,19.1,5.88,99.2,29.0,471.0,454.0,16.0,0.025,,0.05,0.025,2.05,230.9,51.6,21.62,1.11,2.99,59.57,22.32,1.39,3.04,0.2,0.09,0.77,0.01,1.28,5.74,7.0,9.0,,,,,,,5.0,5.0,25.0,25.0,5.0,7000.0,34.0,502.0,1390.0,0.5,4.6,4.0,2.5,0.25,5000.0,60.0,0.5,5.0,7000.0,35.0,516.0,1400.0,4.0,4.7,5.0,2.5,0.25,8000.0,80.0,0.5,,0.001,0.0005,0.023,,,,625.0,125.63,250.0,,1250.0,6.25,875.0,,187500.0,0.0,62.5,,2021,,,,,,0.0,0.0,2.0,,,,,Potosi,11,November,Spring (Transition),Oxic
Viña Quemada,BVQ-122,2021-11-14,14:20,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 2,"19° 24' 30.432""","64° 51' 37.206""",-19.4085,-64.8603,0.741,18.0,1778.0,141.4,7.82,-58.1,566.0,0.2,23.1,5.88,88.3,1650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,Potosi,11,November,Spring (Transition),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2021-11-11,11:00,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,"19° 8' 6.4""","65° 34' 4.99""",-19.1351,-65.5681,,,1282.0,138.8,8.33,-87.0,779.0,0.3,20.9,5.96,103.3,38.5,591.0,550.0,41.0,5.0,376.0,17.5,217.5,5.47,218.4,79.1,59.04,22.4,8.09,80.25,59.04,33.95,8.53,0.1,0.03,0.75,0.01,1.03,2.94,2.5,4.738,,,,,,,5.0,5.0,25.0,25.0,5.0,25.0,0.5,5.0,25.0,0.5,0.25,0.5,2.5,0.25,50.0,100.0,0.5,5.0,25.0,0.5,5.0,25.0,0.5,0.25,0.5,2.5,0.25,600.0,100.0,0.5,,0.001,0.0005,0.059,0.019,,,,,,,0.0,,,,14634.15,,,,2021,,,,,,50.0,20.0,2.0,,,,,Potosi,11,November,Spring (Transition),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2021-11-11,9:30,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,"19° 7' 56.34""","65° 34' 20.706""",-19.1323,-65.5724,0.763,3.0,912.0,156.9,8.54,-96.8,1096.0,0.5,15.8,7.46,104.8,71.2,765.0,698.0,67.0,14.0,216.0,10.0,156.5,174.79,110.1,22.62,20.84,142.15,13.03,26.49,21.27,146.07,13.28,0.2,0.1,0.73,0.01,5.94,5.74,2.5,5.739,,,,,,,5.0,5.0,25.0,25.0,5.0,70.0,0.5,5.0,25.0,15.0,0.25,0.5,2.5,0.25,50.0,1900.0,0.5,5.0,200.0,0.5,5.0,120.0,18.0,0.25,6.0,2.5,0.25,2000.0,2100.0,0.5,,0.001,0.0005,0.053,0.019,,,1791.04,,44.78,,2985.07,,,,29850.75,1940.3,,,2021,,,,,,65.0,30.0,0.0,,,,,Potosi,11,November,Spring (Transition),Oxic
Tarapaya,BTA-050,2021-08-12,15:30,August 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.78""","65° 47' 39.48""",-19.4719,-65.7943,0.584,1.0,1144.0,118.0,7.79,-45.7,874.0,0.4,15.8,5.62,84.8,125.0,666.0,564.0,106.0,,252.0,,94.5,54.7,281.8,53.16,18.82,94.3,13.84,53.3,19.09,97.06,14.24,,,,,1.77,,18.0,33.0,15.0,,,,,,5.0,5.0,25.0,25.0,5.0,900.0,6.0,18.0,2000.0,25.0,3.0,0.5,2.5,0.25,200.0,200.0,0.5,5.0,900.0,6.0,67.0,5000.0,78.0,13.0,31.0,2.5,0.25,7000.0,300.0,4.0,,0.025,0.005,,,,37.74,28301.89,161.89,500.0,,943.4,94.34,462.26,,64150.94,0.0,0.0,,2021,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Colavi - Canutillos,BC7-113,2021-08-12,10:50,August 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 16.86""","65° 33' 6.72""",-19.3214,-65.5519,0.418,0.0,3255.0,136.2,4.83,117.4,307.0,0.1,9.3,7.44,100.2,44.2,216.0,208.0,14.0,,95.03,,0.05,4.39,125.5,9.48,16.63,12.4,1.19,10.98,16.9,12.48,1.2,,,,,1.64,,2.5,1.0,6.0,,,,,,5.0,5.0,25.0,25.0,5.0,4000.0,20.0,375.0,990.0,0.5,3.0,0.5,2.5,0.25,4000.0,25.0,0.5,5.0,4000.0,20.0,390.0,990.0,4.0,3.0,3.0,2.5,0.25,15000.0,50.0,0.5,,0.025,0.004,,,,,0.0,129.29,285.71,,3571.43,0.0,1071.43,,785714.29,0.0,0.0,,2021,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2021-08-11,13:20,August 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,"19° 9' 34.62""","65° 33' 24.18""",-19.1596,-65.5567,0.552,0.0,1532.0,145.8,8.53,-87.2,653.0,0.2,20.0,6.4,99.5,6.95,428.0,426.0,7.0,,324.0,,131.5,15.04,100.0,27.0,37.75,14.01,6.15,28.0,38.31,14.01,6.2,,,,,1.03,,2.5,1.0,6.0,,,,,,5.0,5.0,25.0,25.0,5.0,100.0,0.5,5.0,25.0,0.5,0.25,0.5,2.5,0.25,50.0,100.0,0.5,5.0,100.0,1.0,5.0,25.0,0.5,0.25,0.5,2.5,0.25,300.0,100.0,0.5,,0.025,0.005,,,,,,,,,0.0,,,,42857.14,0.0,142.86,,2021,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2021-08-11,11:40,August 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,"19° 7' 55.98""","65° 34' 21.12""",-19.1322,-65.5725,0.887,4.0,989.0,153.6,8.34,-76.1,1012.0,0.4,13.0,7.72,102.3,128.0,720.0,630.0,96.0,,216.0,,119.0,147.89,130.3,35.48,21.05,124.15,10.72,34.68,20.77,123.57,10.91,,,,,8.39,,4.0,5.0,7.0,,,,,,5.0,5.0,25.0,25.0,5.0,400.0,4.0,45.0,2000.0,53.0,3.0,59.0,2.5,0.25,4000.0,1500.0,0.5,5.0,400.0,9.0,46.0,2000.0,53.0,3.0,79.0,2.5,0.25,5000.0,1700.0,1.0,,0.025,0.005,,,,10.42,0.0,711.25,0.0,,2083.33,0.0,10.42,,10416.67,0.0,52.08,,2021,,,,,,,,,,,,,Potosi,8,August,Winter (Dry),Oxic
Viña Quemada,BVQ-122,2022-12-09,11:20,December 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 2,"19° 24' 26.754""","64° 51' 49.866""",-19.4074,-64.8639,0.6,13.0,1258.0,156.6,8.54,-96.5,795.0,0.3,21.6,6.67,97.0,1650.0,1972.0,512.0,1460.0,,272.3,0.05,135.0,101.1,16.0,35.93,25.96,63.99,6.08,40.12,41.8,104.5,11.03,,,,,3.1,,,,,,,,,,5.0,5.0,0.005,0.005,1.0,1820.0,5.0,1.0,360.0,28.0,0.1,0.5,0.5,0.5,11020.0,340.0,5.0,7.0,1870.0,5.0,36.0,370.0,29.0,0.1,87.0,0.5,0.5,50110.0,440.0,5.0,,,,,,,,6.85,55.42,0.68,,68.49,,24.66,4.79,26773.97,34.25,,,2022,,,,,,,,,,,,,Potosi,12,December,Summer (Wet),Oxic
Talula - Automática,BTL-119,2022-12-08,11:00,December 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 1,"19° 7' 51.66""","65° 27' 3.108""",-19.131,-65.4509,1.153,9.0,926.0,149.9,8.41,-87.5,1077.5,0.5,16.9,6.98,98.05,1650.0,2643.0,674.0,1967.0,,211.0,10.0,135.0,169.5,18.0,35.17,24.01,120.62,9.78,44.88,41.01,188.2,15.83,,,,,2.7,,2.5,1.0,,,,,,,5.0,5.0,0.005,0.005,1.0,810.0,5.0,1.0,620.0,14.0,0.1,0.5,0.5,0.5,15660.0,850.0,5.0,5.0,1220.0,5.0,35.0,620.0,14.0,0.1,58.0,0.5,0.5,32350.0,1030.0,5.0,,,,,,,,0.0,24.51,0.0,,91.51,,17.79,2.54,8485.0,208.44,,,2022,,,,,,,,,,,,,Potosi,12,December,Summer (Wet),Oxic
Colavi - Canutillos,BC7-113,2022-12-07,14:55,December 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 16.872""","65° 33' 6.936""",-19.3214,-65.5519,0.076,0.0,1084.0,135.2,3.23,202.0,927.0,0.4,10.4,7.2,99.5,1650.0,1901.0,450.0,1449.0,,155.0,0.05,0.05,33.2,28.0,22.77,19.32,3.0,3.9,22.89,25.57,4.6,4.7,,,,,11.07,,2.5,8.0,,,,,,,5.0,5.0,0.005,0.005,1.0,7610.0,5.0,2580.0,4420.0,240.0,0.1,0.5,0.5,0.5,130300.0,100.0,5.0,5.0,8080.0,5.0,2920.0,4530.0,960.0,1.3,572.0,0.5,0.5,262800.0,100.0,5.0,,,,,,,,75.91,392.06,496.89,,,0.9,234.64,3.45,91442.37,324.36,,,2022,,,,,,,,,,,,,Potosi,12,December,Summer (Wet),Oxic
Tarapaya,BTA-050,2022-12-07,9:01,December 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.57""","65° 47' 40.02""",-19.4718,-65.7944,0.081,0.0,942.0,115.7,8.03,-64.0,1062.0,0.5,11.8,5.98,82.0,202.0,814.0,638.0,177.0,,260.0,0.05,185.0,96.1,20.0,72.21,13.26,70.7,18.1,83.27,17.56,91.8,27.0,,,,,3.1,,33.0,49.0,,,,,,,5.0,5.0,0.005,0.005,1.0,920.0,5.0,80.0,4300.0,191.0,0.1,0.5,0.5,0.01,8620.0,240.0,5.0,1.0,980.0,5.0,83.0,4490.0,230.0,0.7,0.5,0.5,0.01,9170.0,340.0,5.0,,,,,,,,1073.45,,220.34,,564.97,3.95,16.95,,3107.34,338.98,,,2022,,,,,,,,,,,,,Potosi,12,December,Summer (Wet),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2022-12-06,13:45,December 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,"19° 8' 13.65""","65° 34' 6.102""",-19.1371,-65.5684,0.11,0.0,1368.0,144.1,8.47,-91.5,731.5,0.3,21.0,6.21,97.7,85.9,556.0,472.0,85.0,,405.5,20.0,185.0,6.9,19.0,38.51,52.55,22.5,7.8,41.25,76.01,36.7,11.1,,,,,0.005,,2.0,1.0,,,,,,,5.0,5.0,0.005,0.005,1.0,120.0,5.0,1.0,1.0,5.0,0.005,0.5,0.5,0.5,1600.0,100.0,5.0,1.0,120.0,5.0,1.0,10.0,5.0,0.005,0.5,0.5,0.5,2080.0,270.0,5.0,,,,,,,,,,,,3176.47,,,,5647.06,0.0,,,2022,,,,,,,,,,,,,Potosi,12,December,Summer (Wet),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2022-12-06,11:45,December 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,"19° 7' 56.088""","65° 34' 19.872""",-19.1322,-65.5722,0.123,1.0,964.0,145.6,8.34,-84.0,1038.0,0.5,17.4,6.7,97.5,212.0,791.0,608.0,183.0,,201.0,5.0,130.0,170.9,13.0,34.14,17.36,114.8,11.2,43.33,24.2,146.5,14.0,,,,,3.1,,7.0,2.0,,,,,,,5.0,5.0,0.005,0.005,1.0,470.0,5.0,1.0,2080.0,160.0,0.005,0.5,0.5,0.5,4730.0,1600.0,5.0,1.0,510.0,5.0,1.0,2200.0,164.0,0.005,55.0,0.5,0.5,7040.0,1800.0,5.0,,,,,,,,655.74,239.34,21.86,,1092.9,,,,12622.95,218.58,,,2022,,,,,,,,,,,,,Potosi,12,December,Summer (Wet),Oxic
La Quiaca,ALQ-040,2022-08-16,12:15,August 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,La Quiaca,Unidad 5,"22 5 51,9",65 35 9.828,-22.0975,-65.5861,0.968,0.0,1161.0,107.2,8.82,-115.7,859.0,0.4,12.9,5.42,77.6,104.0,610.0,494.0,110.0,1.0,192.0,18.0,218.5,80.2,106.3,34.88,16.45,66.4,14.1,40.18,16.26,67.7,14.3,7.21,5.3,39.64,0.01,1.64,26.0,88.0,97.0,,,,,,,5.0,5.0,5.0,5.0,2.5,45.0,2.5,5.0,60.0,5.0,2.5,5.0,5.0,5.0,93.0,757.0,5.0,2.5,84.0,2.5,10.0,140.0,10.0,2.5,5.0,5.0,5.0,2573.0,761.0,5.0,,0.001,0.001,0.082,0.05,,,727.27,,90.91,,36.36,,90.91,,22545.45,354.55,,,2022,,,,,,150000.0,150000.0,,34.0,,,,Potosi,8,August,Winter (Dry),Oxic
Chuquiago,BCH-060,2022-08-16,9:50,August 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,21 33 36.84,65 38 51.624,-21.5602,-65.6477,1.453,7.0,926.0,148.8,8.3,-82.0,1080.0,0.5,7.8,8.41,99.2,109.0,962.0,830.0,141.0,22.0,432.0,0.05,6.0,49.3,390.9,74.96,42.69,69.6,6.8,77.23,45.18,71.5,6.9,0.18,0.15,1.34,0.07,1.77,3.6,2.5,1.0,,,,,,,5.0,5.0,5.0,5.0,2.5,5.0,2.5,5.0,43.0,5.0,2.5,5.0,5.0,5.0,57.0,2651.0,5.0,5.0,87.0,5.0,5.0,64.0,5.0,2.5,5.0,5.0,5.0,4122.0,2669.0,5.0,,0.001,0.004,0.076,0.05,,,148.94,,,,127.66,,,35.46,28829.79,617.02,35.46,,2022,,,,,,150000.0,810.0,,1.0,,,,Potosi,8,August,Winter (Dry),Oxic
La Angostura,BTP-090,2022-08-15,17:50,August 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tupiza,Unidad 5,21 30 16.62,65 42 32.07,-21.5046,-65.7089,1.228,3.0,668.0,93.4,8.0,-67.8,1496.0,0.7,13.5,4.66,63.6,22.2,1334.0,1266.0,13.0,8.0,700.0,11.5,187.0,54.7,625.7,85.76,92.3,72.2,8.1,99.11,93.26,73.5,8.1,0.92,0.89,8.51,0.07,5.33,4.3,16.0,1.0,,,,,,,5.0,5.0,5.0,5.0,2.5,5.0,2.5,5.0,10.0,5.0,2.5,5.0,5.0,5.0,73.0,1766.0,5.0,2.5,29.0,2.5,5.0,45.0,5.0,2.5,5.0,5.0,5.0,77.0,1773.0,5.0,,0.001,0.001,0.051,0.05,,,2692.31,,,,538.46,,,,307.69,2230.77,,,2022,,,,,,150000.0,150000.0,,1.0,,,,Potosi,8,August,Winter (Dry),Oxic
