Station,Campaign,Date,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,DO_mg_per_L,DO_Status,pH,Fe_%,Mn_mg_per_kg,Al_%,S_%,Organic_Matter_%
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,March 2017,2017-03-29,Arsenic,10.9,37.0,0.037,294.59459459459464,2.469224773873629,6.55,Oxic,8.2,2.77,519.0,0.92,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,March 2017,2017-03-29,Cadmium,0.17,0.5,0.0005,340.0,2.531478917042255,6.55,Oxic,8.2,2.77,519.0,0.92,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,March 2017,2017-03-29,Lead,19.7,103.0,0.103,191.2621359223301,2.281629001456421,6.55,Oxic,8.2,2.77,519.0,0.92,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,March 2017,2017-03-29,Zinc,60.1,276.0,0.276,217.75362318840578,2.337965389937522,6.55,Oxic,8.2,2.77,519.0,0.92,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,March 2017,2017-03-29,Arsenic,9.9,37.0,0.037,267.5675675675676,2.427433470530555,6.55,Oxic,8.2,2.37,434.0,0.78,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,March 2017,2017-03-29,Cadmium,0.11,0.5,0.0005,220.0,2.342422680822206,6.55,Oxic,8.2,2.37,434.0,0.78,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,March 2017,2017-03-29,Lead,15.2,103.0,0.103,147.5728155339806,2.1690063632396,6.55,Oxic,8.2,2.37,434.0,0.78,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,March 2017,2017-03-29,Zinc,53.1,276.0,0.276,192.39130434782606,2.2841854390162513,6.55,Oxic,8.2,2.37,434.0,0.78,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,March 2017,2017-03-29,Arsenic,5.8,37.0,0.037,156.75675675675677,2.1952262694959424,6.55,Oxic,8.2,2.58,476.0,0.79,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,March 2017,2017-03-29,Cadmium,0.09,0.5,0.0005,180.0,2.255272505103306,6.55,Oxic,8.2,2.58,476.0,0.79,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,March 2017,2017-03-29,Lead,14.9,103.0,0.103,144.6601941747573,2.160349043707102,6.55,Oxic,8.2,2.58,476.0,0.79,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,March 2017,2017-03-29,Zinc,47.5,276.0,0.276,172.1014492753623,2.235784527559649,6.55,Oxic,8.2,2.58,476.0,0.79,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,March 2017,2017-03-29,Arsenic,4.7,37.0,0.037,127.02702702702703,2.1038961338687225,6.55,Oxic,8.2,2.4,447.0,0.64,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,March 2017,2017-03-29,Cadmium,0.09,0.5,0.0005,180.0,2.255272505103306,6.55,Oxic,8.2,2.4,447.0,0.64,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,March 2017,2017-03-29,Lead,12.2,103.0,0.103,118.44660194174757,2.073522605969576,6.55,Oxic,8.2,2.4,447.0,0.64,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,March 2017,2017-03-29,Zinc,44.6,276.0,0.276,161.59420289855072,2.208425776646924,6.55,Oxic,8.2,2.4,447.0,0.64,0.5,0.42
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,May 2018,2018-05-21,Arsenic,7.2,41.0,0.041,175.60975609756096,2.244548639711533,6.49,Oxic,8.3,3.46,821.0,1.27,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,May 2018,2018-05-21,Cadmium,0.64,10.0,0.01,64.0,1.806179973983887,6.49,Oxic,8.3,3.46,821.0,1.27,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,May 2018,2018-05-21,Lead,18.1,10.0,0.01,1810.0,3.2576785748691846,6.49,Oxic,8.3,3.46,821.0,1.27,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,May 2018,2018-05-21,Zinc,116.0,135.0,0.135,859.2592592592592,2.9341242207319125,6.49,Oxic,8.3,3.46,821.0,1.27,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,May 2018,2018-05-21,Arsenic,6.2,41.0,0.041,151.21951219512195,2.1796078327785184,6.49,Oxic,8.3,3.16,809.0,1.62,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,May 2018,2018-05-21,Cadmium,0.51,10.0,0.01,51.0,1.7075701760979363,6.49,Oxic,8.3,3.16,809.0,1.62,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,May 2018,2018-05-21,Lead,18.1,10.0,0.01,1810.0,3.2576785748691846,6.49,Oxic,8.3,3.16,809.0,1.62,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,May 2018,2018-05-21,Zinc,104.0,135.0,0.135,770.3703703703703,2.886699570803774,6.49,Oxic,8.3,3.16,809.0,1.62,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,May 2018,2018-05-21,Arsenic,7.3,41.0,0.041,178.04878048780486,2.2505390034007204,6.49,Oxic,8.3,2.79,799.0,0.97,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,May 2018,2018-05-21,Cadmium,0.36,10.0,0.01,36.0,1.5563025007672873,6.49,Oxic,8.3,2.79,799.0,0.97,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,May 2018,2018-05-21,Lead,16.2,10.0,0.01,1620.0,3.2095150145426308,6.49,Oxic,8.3,2.79,799.0,0.97,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,May 2018,2018-05-21,Zinc,85.8,135.0,0.135,635.5555555555555,2.803153519353699,6.49,Oxic,8.3,2.79,799.0,0.97,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,May 2018,2018-05-21,Arsenic,7.1,41.0,0.041,173.17073170731706,2.2384744919993396,6.49,Oxic,8.3,2.79,683.0,1.37,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,May 2018,2018-05-21,Cadmium,0.49,10.0,0.01,49.0,1.6901960800285136,6.49,Oxic,8.3,2.79,683.0,1.37,0.5,0.4
