Station,Campaign,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,pH,Clay_%,Sand_%,Organic_Matter_%,Location
Villamontes,May 2018,Zinc,33.1,10.0,0.01,3310.0,8.9,1.0,97.93,0.1,Bolivia (Non-Mining)
Villamontes,September 2019,Arsenic,5.2,27.0,0.027,192.5925925925926,8.3,2.0,83.59,0.93,Bolivia (Non-Mining)
Villamontes,September 2019,Cadmium,0.1,10.0,0.01,10.0,8.3,2.0,83.59,0.93,Bolivia (Non-Mining)
Villamontes,September 2019,Lead,11.7,58.0,0.058,201.72413793103445,8.3,2.0,83.59,0.93,Bolivia (Non-Mining)
Villamontes,September 2019,Zinc,41.0,110.0,0.11,372.72727272727275,8.3,2.0,83.59,0.93,Bolivia (Non-Mining)
Villamontes,September 2019,Arsenic,5.2,27.0,0.027,192.5925925925926,8.3,2.0,83.59,0.93,Bolivia (Non-Mining)
Villamontes,September 2019,Cadmium,0.07,10.0,0.01,7.000000000000001,8.3,2.0,83.59,0.93,Bolivia (Non-Mining)
Villamontes,September 2019,Lead,14.9,58.0,0.058,256.8965517241379,8.3,2.0,83.59,0.93,Bolivia (Non-Mining)
Villamontes,September 2019,Zinc,33.6,110.0,0.11,305.45454545454544,8.3,2.0,83.59,0.93,Bolivia (Non-Mining)
Villamontes,September 2019,Arsenic,7.1,27.0,0.027,262.96296296296293,8.3,2.0,85.72,0.73,Bolivia (Non-Mining)
Villamontes,September 2019,Cadmium,0.14,10.0,0.01,14.000000000000002,8.3,2.0,85.72,0.73,Bolivia (Non-Mining)
Villamontes,September 2019,Lead,17.2,58.0,0.058,296.551724137931,8.3,2.0,85.72,0.73,Bolivia (Non-Mining)
Villamontes,September 2019,Zinc,57.1,110.0,0.11,519.0909090909091,8.3,2.0,85.72,0.73,Bolivia (Non-Mining)
Villamontes,September 2019,Arsenic,4.9,27.0,0.027,181.4814814814815,8.3,2.0,85.72,0.73,Bolivia (Non-Mining)
Villamontes,September 2019,Cadmium,0.06,10.0,0.01,6.0,8.3,2.0,85.72,0.73,Bolivia (Non-Mining)
