Station,Campaign,Metal,Sediment_Median_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,pH,Clay_%,Sand_%,Organic_Matter_%,DO_mg_per_L,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Location
Colavi - Canutillos,February 2024,Zinc,82.0,25.0,0.025,3280.0,3.515873843711679,3.8,24.2,64.6,1.8,7.12,4.8264,885.5,,,,,Potosí (Mining Zone)
Colavi - Canutillos,January 2023,Arsenic,27.9,5.0,0.005,5580.0,3.7466341989375787,4.1,1.0,72.62,0.25,6.34,3.575,549.5,,,,,Potosí (Mining Zone)
Colavi - Canutillos,January 2023,Cadmium,3.0,8.5,0.0085,352.94117647058823,2.5477023290053697,4.1,1.0,72.62,0.25,6.34,3.575,549.5,,,,,Potosí (Mining Zone)
Colavi - Canutillos,January 2023,Lead,197.8,6.0,0.006,32966.666666666664,4.518075036877517,4.1,1.0,72.62,0.25,6.34,3.575,549.5,,,,,Potosí (Mining Zone)
Colavi - Canutillos,January 2023,Zinc,684.5,2050.0,2.05,333.9024390243903,2.5236195914142545,4.1,1.0,72.62,0.25,6.34,3.575,549.5,,,,,Potosí (Mining Zone)
Colavi - Canutillos,June 2024,Arsenic,84.0,607.0,0.607,138.3855024711697,2.141090594986624,2.5,4.0,60.4,3.36,7.28,9.64105,510.0,,,,,Potosí (Mining Zone)
Colavi - Canutillos,June 2024,Cadmium,5.0,2140.0,2.14,2.336448598130841,0.368556230986828,2.5,4.0,60.4,3.36,7.28,9.64105,510.0,,,,,Potosí (Mining Zone)
Colavi - Canutillos,June 2024,Lead,33.0,16.0,0.016,2062.5,3.3143939572219625,2.5,4.0,60.4,3.36,7.28,9.64105,510.0,,,,,Potosí (Mining Zone)
Colavi - Canutillos,June 2024,Zinc,74.5,26.0,0.026,2865.3846153846157,3.457182924777475,2.5,4.0,60.4,3.36,7.28,9.64105,510.0,,,,,Potosí (Mining Zone)
Colavi - Canutillos,March 2017,Arsenic,13.8,12.0,0.012,1150.0,3.060697840353612,4.7,2.0,86.05,0.8,6.52,2.62,756.0,1.09,0.5,0.07,0.023,Potosí (Mining Zone)
Colavi - Canutillos,March 2017,Cadmium,0.15,5.0,0.005,30.0,1.4771212547196624,4.7,2.0,86.05,0.8,6.52,2.62,756.0,1.09,0.5,0.07,0.023,Potosí (Mining Zone)
Colavi - Canutillos,March 2017,Lead,20.0,6.0,0.006,3333.3333333333335,3.5228787452803374,4.7,2.0,86.05,0.8,6.52,2.62,756.0,1.09,0.5,0.07,0.023,Potosí (Mining Zone)
Colavi - Canutillos,March 2017,Zinc,79.8,987.0,0.987,80.85106382978724,1.9076857386810928,4.7,2.0,86.05,0.8,6.52,2.62,756.0,1.09,0.5,0.07,0.023,Potosí (Mining Zone)
Colavi - Canutillos,March 2019,Arsenic,39.2,10.0,0.01,3920.0,3.593286067020457,5.2,3.0,85.67,0.65,6.97,3.08,827.0,1.3,0.5,0.08,0.032,Potosí (Mining Zone)
Colavi - Canutillos,March 2019,Cadmium,0.19,10.0,0.01,19.0,1.2787536009528289,5.2,3.0,85.67,0.65,6.97,3.08,827.0,1.3,0.5,0.08,0.032,Potosí (Mining Zone)
Colavi - Canutillos,March 2019,Lead,48.7,10.0,0.01,4870.0,3.6875289612146345,5.2,3.0,85.67,0.65,6.97,3.08,827.0,1.3,0.5,0.08,0.032,Potosí (Mining Zone)
Colavi - Canutillos,March 2019,Zinc,115.0,649.0,0.649,177.19568567026192,2.248453143553242,5.2,3.0,85.67,0.65,6.97,3.08,827.0,1.3,0.5,0.08,0.032,Potosí (Mining Zone)
Colavi - Canutillos,May 2018,Arsenic,38.2,10.0,0.01,3820.0,3.582063362911709,3.4,1.0,91.93,1.37,6.92,4.63,631.0,1.45,0.5,0.08,0.025,Potosí (Mining Zone)
Colavi - Canutillos,May 2018,Cadmium,0.08,10.0,0.01,8.0,0.9030899869919435,3.4,1.0,91.93,1.37,6.92,4.63,631.0,1.45,0.5,0.08,0.025,Potosí (Mining Zone)
Colavi - Canutillos,May 2018,Lead,24.8,10.0,0.01,2480.0,3.3944516808262164,3.4,1.0,91.93,1.37,6.92,4.63,631.0,1.45,0.5,0.08,0.025,Potosí (Mining Zone)
Colavi - Canutillos,May 2018,Zinc,95.4,1224.0,1.224,77.94117647058825,1.8917669568945528,3.4,1.0,91.93,1.37,6.92,4.63,631.0,1.45,0.5,0.08,0.025,Potosí (Mining Zone)
Colavi - Canutillos,May 2022,Arsenic,134.0,11.0,0.011,12181.818181818182,4.085712113206583,3.2,3.0,83.23,1.8,8.03,10.82,389.5,0.9199999999999999,0.5,0.09,0.045,Potosí (Mining Zone)
Colavi - Canutillos,May 2022,Cadmium,0.3,31.0,0.031,9.67741935483871,0.9857595608853897,3.2,3.0,83.23,1.8,8.03,10.82,389.5,0.9199999999999999,0.5,0.09,0.045,Potosí (Mining Zone)
Colavi - Canutillos,May 2022,Lead,36.45,5.0,0.005,7290.0,3.8627275283179747,3.2,3.0,83.23,1.8,8.03,10.82,389.5,0.9199999999999999,0.5,0.09,0.045,Potosí (Mining Zone)
Colavi - Canutillos,May 2022,Zinc,93.25,5565.0,5.565,16.756513926325248,1.224183671809998,3.2,3.0,83.23,1.8,8.03,10.82,389.5,0.9199999999999999,0.5,0.09,0.045,Potosí (Mining Zone)
Colavi - Canutillos,November 2016,Arsenic,17.450000000000003,1.5,0.0015,11633.333333333336,4.065704172239518,7.5,1.0,89.03,1.92,5.7,3.04,717.0,1.58,0.5,0.26,0.03,Potosí (Mining Zone)
Colavi - Canutillos,November 2016,Cadmium,0.255,1.0,0.001,255.0,2.406540180433955,7.5,1.0,89.03,1.92,5.7,3.04,717.0,1.58,0.5,0.26,0.03,Potosí (Mining Zone)
Colavi - Canutillos,November 2016,Lead,17.950000000000003,1.5,0.0015,11966.666666666668,4.077973193858657,7.5,1.0,89.03,1.92,5.7,3.04,717.0,1.58,0.5,0.26,0.03,Potosí (Mining Zone)
Colavi - Canutillos,November 2016,Zinc,122.0,340.0,0.34,358.8235294117647,2.554880913632493,7.5,1.0,89.03,1.92,5.7,3.04,717.0,1.58,0.5,0.26,0.03,Potosí (Mining Zone)
Colavi - Canutillos,November 2021,Arsenic,30.25,4.0,0.004,7562.5,3.8786653876605253,4.44,1.5,73.61,0.8,5.88,3.885,761.0,0.765,0.5,0.060000000000000005,0.029,Potosí (Mining Zone)
Colavi - Canutillos,November 2021,Cadmium,0.225,4.7,0.0047,47.87234042553192,1.680084660175645,4.44,1.5,73.61,0.8,5.88,3.885,761.0,0.765,0.5,0.060000000000000005,0.029,Potosí (Mining Zone)
Colavi - Canutillos,November 2021,Lead,33.6,5.0,0.005,6720.0,3.8273692730538253,4.44,1.5,73.61,0.8,5.88,3.885,761.0,0.765,0.5,0.060000000000000005,0.029,Potosí (Mining Zone)
