Station,Campaign,Date,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,pH,Clay_%,Organic_Matter_%,DO_mg_per_L,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Location
Puente Mendez,November 2021,2021-11-30,Lead,12.7,203.0,0.203,62.561576354679794,1.7963076830427438,7.99,1.0,0.6,6.62,1.64,290.0,0.69,0.5,0.4,0.038,Bolivia (Non-Mining)
Puente Mendez,November 2021,2021-11-30,Zinc,44.6,2000.0,2.0,22.3,1.3483048630481607,7.99,1.0,0.6,6.62,1.64,290.0,0.69,0.5,0.4,0.038,Bolivia (Non-Mining)
Puente Mendez,August 2022,2022-08-11,Arsenic,14.45,33.0,0.033,437.8787878787878,2.641353907214679,7.4,1.0,0.22,7.13,3.382,393.65,,,,,Bolivia (Non-Mining)
Puente Mendez,August 2022,2022-08-11,Cadmium,1.48,2.5,0.0025,592.0,2.77232170672292,7.4,1.0,0.22,7.13,3.382,393.65,,,,,Bolivia (Non-Mining)
Puente Mendez,August 2022,2022-08-11,Lead,17.63,11.0,0.011,1602.7272727272727,3.204859627141097,7.4,1.0,0.22,7.13,3.382,393.65,,,,,Bolivia (Non-Mining)
Puente Mendez,August 2022,2022-08-11,Zinc,266.85,592.0,0.592,450.7601351351352,2.6539455004166865,7.4,1.0,0.22,7.13,3.382,393.65,,,,,Bolivia (Non-Mining)
Puente Mendez,August 2022,2022-08-11,Arsenic,10.49,33.0,0.033,317.8787878787879,2.5022615483156705,7.4,1.0,0.22,7.13,1.919,324.36,,,,,Bolivia (Non-Mining)
Puente Mendez,August 2022,2022-08-11,Cadmium,1.14,2.5,0.0025,455.99999999999994,2.658964842664435,7.4,1.0,0.22,7.13,1.919,324.36,,,,,Bolivia (Non-Mining)
Puente Mendez,August 2022,2022-08-11,Lead,13.63,11.0,0.011,1239.0909090909092,3.0931031706764487,7.4,1.0,0.22,7.13,1.919,324.36,,,,,Bolivia (Non-Mining)
Puente Mendez,August 2022,2022-08-11,Zinc,204.64,592.0,0.592,345.6756756756757,2.538668820411659,7.4,1.0,0.22,7.13,1.919,324.36,,,,,Bolivia (Non-Mining)
Puente Mendez,December 2023,2023-12-10,Arsenic,2.66,24.0,0.024,110.83333333333334,2.044670394919461,8.0,0.0,0.27,6.7,0.4559,194.0,,,,,Bolivia (Non-Mining)
Puente Mendez,December 2023,2023-12-10,Cadmium,0.032,0.25,0.00025,128.0,2.1072099696478683,8.0,0.0,0.27,6.7,0.4559,194.0,,,,,Bolivia (Non-Mining)
Puente Mendez,December 2023,2023-12-10,Lead,7.42,33.0,0.033,224.84848484848484,2.3518899654011394,8.0,0.0,0.27,6.7,0.4559,194.0,,,,,Bolivia (Non-Mining)
Puente Mendez,December 2023,2023-12-10,Zinc,20.8,205.0,0.205,101.46341463414635,2.0063094739070073,8.0,0.0,0.27,6.7,0.4559,194.0,,,,,Bolivia (Non-Mining)
Puente Mendez,December 2023,2023-12-10,Arsenic,6.26,24.0,0.024,260.8333333333333,2.4163630914988237,8.0,0.0,0.27,6.7,0.8596,340.0,,,,,Bolivia (Non-Mining)
Puente Mendez,December 2023,2023-12-10,Cadmium,0.128,0.25,0.00025,512.0,2.709269960975831,8.0,0.0,0.27,6.7,0.8596,340.0,,,,,Bolivia (Non-Mining)
